ID,Time,Src,Dst,Proto,Size,AI
1,12:44:06,192.168.0.127,140.82.113.22,6,54,0.09
2,12:44:06,192.168.0.127,45.140.147.90,6,54,0.09
3,12:44:06,192.168.0.127,140.82.113.22,6,571,0.09
4,12:44:06,192.168.0.127,140.82.113.22,6,66,0.09
5,12:44:06,13.107.253.44,192.168.0.127,6,60,0.09
6,12:44:05,192.168.0.127,45.140.147.90,6,54,0.09
7,12:44:05,45.140.147.90,192.168.0.127,6,60,0.09
8,12:44:05,192.168.0.127,45.140.147.90,6,161,0.09
9,12:44:04,192.168.0.127,45.140.147.90,6,54,0.09
10,12:44:04,192.168.0.127,45.140.147.90,6,162,0.09
11,12:44:04,192.168.0.127,13.107.246.44,6,54,0.09
12,12:44:03,192.168.0.127,45.140.147.90,6,54,0.09
13,12:44:03,45.140.147.90,192.168.0.127,6,150,0.09
14,12:44:03,45.140.147.90,192.168.0.127,6,60,0.09
15,12:44:03,192.168.0.127,45.140.147.90,6,161,0.09
16,12:44:02,192.168.0.127,216.58.209.14,17,79,0.09
17,12:44:02,192.168.0.127,216.58.209.14,17,74,0.09
18,12:44:02,192.168.0.127,216.58.209.14,17,1294,0.09
19,12:44:02,192.168.0.127,45.140.147.90,6,54,0.09
20,12:44:02,45.140.147.90,192.168.0.127,6,151,0.09
21,12:44:02,192.168.0.127,45.140.147.90,6,162,0.09
22,12:44:02,192.168.0.127,192.168.0.255,17,92,0.09
23,12:44:01,45.140.147.90,192.168.0.127,6,150,0.09
24,12:44:00,192.168.0.127,45.140.147.90,6,54,0.09
25,12:44:00,192.168.0.127,45.140.147.90,6,162,0.09
26,12:43:59,192.168.0.127,45.140.147.90,6,54,0.09
27,12:43:59,45.140.147.90,192.168.0.127,6,150,0.09
28,12:43:59,45.140.147.90,192.168.0.127,6,60,0.09
29,12:43:58,192.168.0.127,45.140.147.90,6,54,0.09
30,12:43:58,45.140.147.90,192.168.0.127,6,151,0.09
31,12:43:57,192.168.0.127,45.140.147.90,6,54,0.09
32,12:43:57,45.140.147.90,192.168.0.127,6,60,0.09
33,12:43:57,192.168.0.127,172.211.123.249,6,54,0.09
34,12:43:57,172.211.123.249,192.168.0.127,6,228,0.09
35,12:43:56,192.168.0.127,45.140.147.90,6,54,0.09
36,12:43:56,192.168.0.127,45.140.147.90,6,162,0.09
37,12:43:56,192.168.0.127,34.107.243.93,6,54,0.09
38,12:43:55,192.168.0.127,45.140.147.90,6,54,0.09
39,12:43:55,45.140.147.90,192.168.0.127,6,150,0.09
40,12:43:55,192.168.0.127,45.140.147.90,6,161,0.09
41,12:43:55,140.82.113.21,192.168.0.127,6,66,0.09
42,12:43:55,192.168.0.127,140.82.113.21,6,55,0.09
43,12:43:54,192.168.0.127,45.140.147.90,6,54,0.09
44,12:43:54,45.140.147.90,192.168.0.127,6,60,0.09
45,12:43:54,192.168.0.127,45.140.147.90,6,162,0.09
46,12:43:54,52.182.143.211,192.168.0.127,6,60,0.09
47,12:43:54,192.168.0.127,34.120.208.123,6,54,0.09
48,12:43:54,34.120.208.123,192.168.0.127,6,60,0.09
49,12:43:53,192.168.0.127,52.182.143.211,6,89,0.09
50,12:43:53,192.168.0.127,52.182.143.211,6,54,0.09
51,12:43:53,8.8.8.8,192.168.0.127,17,257,0.09
52,12:43:53,45.140.147.90,192.168.0.127,6,150,0.09
53,12:43:53,192.168.0.127,52.182.143.211,6,2644,0.09
54,12:43:53,192.168.0.127,52.182.143.211,6,93,0.0
55,12:43:53,192.168.0.127,8.8.8.8,17,92,0.09
56,12:43:52,192.168.0.127,45.140.147.90,6,54,0.09
57,12:43:52,45.140.147.90,192.168.0.127,6,151,0.09
58,12:43:52,192.168.0.127,13.107.253.44,6,54,0.09
59,12:43:52,192.168.0.127,45.140.147.90,6,54,0.09
60,12:43:51,192.168.0.127,135.234.160.244,6,66,0.0
61,12:43:51,135.234.160.244,192.168.0.127,6,1127,0.09
62,12:43:51,135.234.160.244,192.168.0.127,6,66,0.09
63,12:43:51,135.234.160.244,192.168.0.127,6,66,0.09
64,12:43:51,140.82.113.21,192.168.0.127,6,60,0.09
65,12:43:51,192.168.0.127,135.234.160.244,6,66,0.09
66,12:43:51,135.234.160.244,192.168.0.127,6,1514,0.09
